DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
108	-0.240740740740741	0.240740740740741	-0.314814814814815	0.305555555555556	0.324074074074074	0.666666666666667	0.277777777777778	0.703703703703704	0.324074074074074	0.666666666666667	0.259259259259259	0.722222222222222
109	-0.247706422018349	0.238532110091743	-0.321100917431193	0.311926605504587	0.311926605504587	0.678899082568807	0.26605504587156	0.73394495412844	0.321100917431193	0.669724770642202	0.26605504587156	0.715596330275229
110	-0.245454545454545	0.227272727272727	-0.3	0.281818181818182	0.327272727272727	0.663636363636364	0.281818181818182	0.7	0.327272727272727	0.672727272727273	0.263636363636364	0.7
111	-0.243243243243243	0.243243243243243	-0.333333333333333	0.351351351351351	0.324324324324324	0.675675675675676	0.279279279279279	0.72972972972973	0.324324324324324	0.675675675675676	0.27027027027027	0.720720720720721
112	-0.241071428571429	0.241071428571429	-0.276785714285714	0.303571428571429	0.330357142857143	0.669642857142857	0.285714285714286	0.714285714285714	0.330357142857143	0.660714285714286	0.285714285714286	0.696428571428571
113	-0.247787610619469	0.221238938053097	-0.31858407079646	0.283185840707965	0.336283185840708	0.672566371681416	0.265486725663717	0.716814159292035	0.336283185840708	0.654867256637168	0.292035398230089	0.707964601769911
114	-0.236842105263158	0.236842105263158	-0.289473684210526	0.307017543859649	0.333333333333333	0.675438596491228	0.289473684210526	0.701754385964912	0.324561403508772	0.675438596491228	0.271929824561404	0.745614035087719
115	-0.252173913043478	0.217391304347826	-0.321739130434783	0.278260869565217	0.321739130434783	0.660869565217391	0.260869565217391	0.695652173913043	0.330434782608696	0.669565217391304	0.260869565217391	0.704347826086957
116	-0.232758620689655	0.241379310344828	-0.310344827586207	0.310344827586207	0.327586206896552	0.681034482758621	0.275862068965517	0.724137931034483	0.336206896551724	0.655172413793103	0.293103448275862	0.724137931034483
117	-0.239316239316239	0.247863247863248	-0.299145299145299	0.341880341880342	0.324786324786325	0.658119658119658	0.282051282051282	0.700854700854701	0.333333333333333	0.666666666666667	0.290598290598291	0.717948717948718
118	-0.23728813559322	0.220338983050847	-0.296610169491525	0.279661016949153	0.330508474576271	0.669491525423729	0.279661016949153	0.720338983050847	0.338983050847458	0.661016949152542	0.296610169491525	0.711864406779661
119	-0.252100840336134	0.210084033613445	-0.319327731092437	0.294117647058824	0.34453781512605	0.663865546218487	0.26890756302521	0.722689075630252	0.34453781512605	0.672268907563025	0.294117647058824	0.756302521008403
120	-0.25	0.233333333333333	-0.3	0.325	0.325	0.675	0.283333333333333	0.725	0.316666666666667	0.675	0.266666666666667	0.7
121	-0.239669421487603	0.239669421487603	-0.289256198347107	0.31404958677686	0.338842975206612	0.669421487603306	0.28099173553719	0.71900826446281	0.330578512396694	0.652892561983471	0.272727272727273	0.702479338842975
122	-0.221311475409836	0.237704918032787	-0.30327868852459	0.311475409836066	0.336065573770492	0.663934426229508	0.270491803278689	0.713114754098361	0.327868852459016	0.663934426229508	0.278688524590164	0.713114754098361
123	-0.235772357723577	0.219512195121951	-0.300813008130081	0.333333333333333	0.333333333333333	0.67479674796748	0.276422764227642	0.739837398373984	0.333333333333333	0.658536585365854	0.284552845528455	0.707317073170732
124	-0.25	0.25	-0.338709677419355	0.330645161290323	0.32258064516129	0.669354838709677	0.274193548387097	0.717741935483871	0.346774193548387	0.661290322580645	0.298387096774194	0.709677419354839
125	-0.248	0.232	-0.328	0.32	0.336	0.672	0.296	0.712	0.336	0.68	0.288	0.712
126	-0.238095238095238	0.23015873015873	-0.30952380952381	0.301587301587302	0.325396825396825	0.666666666666667	0.285714285714286	0.706349206349206	0.325396825396825	0.658730158730159	0.285714285714286	0.698412698412698
127	-0.244094488188976	0.228346456692913	-0.338582677165354	0.291338582677165	0.322834645669291	0.669291338582677	0.291338582677165	0.692913385826772	0.338582677165354	0.677165354330709	0.291338582677165	0.724409448818898
128	-0.2421875	0.234375	-0.3203125	0.3359375	0.3359375	0.6875	0.265625	0.734375	0.3515625	0.6640625	0.3046875	0.6953125
